season,week,team,off_epa_raw,def_epa_raw,opp_def_strength,opp_off_strength,off_epa_adj,def_epa_adj,off_epa_adj_z,def_epa_adj_z
2024,1,PHI,0.10358545,0.09159694,0.10358545,0.09159694,0.0,0.0,0.0,0.0
2024,1,ATL,-0.2430109,-0.04055573,-0.2430109,-0.04055573,0.0,0.0,0.0,0.0
2024,1,IND,0.094676524,0.12762077,0.094676524,0.12762077,0.0,0.0,0.0,0.0
2024,1,JAX,-0.041752074,-0.0062852185,-0.041752074,-0.0062852185,0.0,0.0,0.0,0.0
2024,1,DEN,-0.13299543,-0.047614574,-0.13299543,-0.047614574,0.0,0.0,0.0,0.0
2024,1,GB,0.09159694,0.10358545,0.09159694,0.10358545,0.0,0.0,0.0,0.0
2024,1,LAC,-0.12475148,-0.31249446,-0.12475148,-0.31249446,0.0,0.0,0.0,0.0
2024,1,ARI,0.14116284,0.1913574,0.14116284,0.1913574,0.0,0.0,0.0,0.0
2024,1,KC,0.12418383,0.020795856,0.12418383,0.020795856,0.0,0.0,0.0,0.0
2024,1,PIT,-0.04055573,-0.2430109,-0.04055573,-0.2430109,0.0,0.0,0.0,0.0
2024,1,DAL,-0.037797917,-0.2442835,-0.037797917,-0.2442835,0.0,0.0,0.0,0.0
2024,1,SEA,-0.047614574,-0.13299543,-0.047614574,-0.13299543,0.0,0.0,0.0,0.0
2024,1,WAS,0.051665157,0.27295205,0.051665157,0.27295205,0.0,0.0,0.0,0.0
2024,1,HOU,0.12762077,0.094676524,0.12762077,0.094676524,0.0,0.0,0.0,0.0
2024,1,NO,0.19670653,-0.37482163,0.19670653,-0.37482163,0.0,0.0,0.0,0.0
2024,1,CLE,-0.2442835,-0.037797917,-0.2442835,-0.037797917,0.0,0.0,0.0,0.0
2024,1,LV,-0.31249446,-0.12475148,-0.31249446,-0.12475148,0.0,0.0,0.0,0.0
2024,1,NYJ,-0.0026216656,0.17390163,-0.0026216656,0.17390163,0.0,0.0,0.0,0.0
2024,1,DET,0.0933521,0.052882046,0.0933521,0.052882046,0.0,0.0,0.0,0.0
2024,1,TB,0.27295205,0.051665157,0.27295205,0.051665157,0.0,0.0,0.0,0.0
2024,1,BAL,0.020795856,0.12418383,0.020795856,0.12418383,0.0,0.0,0.0,0.0
2024,1,MIN,0.0943946,-0.2345987,0.0943946,-0.2345987,0.0,0.0,0.0,0.0
2024,1,BUF,0.1913574,0.14116284,0.1913574,0.14116284,0.0,0.0,0.0,0.0
2024,1,CAR,-0.37482163,0.19670653,-0.37482163,0.19670653,0.0,0.0,0.0,0.0
2024,1,MIA,-0.0062852185,-0.041752074,-0.0062852185,-0.041752074,0.0,0.0,0.0,0.0
2024,1,TEN,-0.27828294,-0.2012001,-0.27828294,-0.2012001,0.0,0.0,0.0,0.0
2024,1,CHI,-0.2012001,-0.27828294,-0.2012001,-0.27828294,0.0,0.0,0.0,0.0
2024,1,NE,0.077777214,-0.03840472,0.077777214,-0.03840472,0.0,0.0,0.0,0.0
2024,1,LA,0.052882046,0.0933521,0.052882046,0.0933521,0.0,0.0,0.0,0.0
2024,1,SF,0.17390163,-0.0026216656,0.17390163,-0.0026216656,0.0,0.0,0.0,0.0
2024,1,NYG,-0.2345987,0.0943946,-0.2345987,0.0943946,0.0,0.0,0.0,0.0
2024,1,CIN,-0.03840472,0.077777214,-0.03840472,0.077777214,0.0,0.0,0.0,0.0
2024,2,PHI,0.08863136,0.13955986,0.08863136,0.13955986,0.0,0.0,0.0,0.0
2024,2,ATL,0.13955986,0.08863136,0.13955986,0.08863136,0.0,0.0,0.0,0.0
2024,2,IND,-0.09798982,0.0009397934,-0.09798982,0.0009397934,0.0,0.0,0.0,0.0
2024,2,JAX,-0.034532093,0.04787105,-0.034532093,0.04787105,0.0,0.0,0.0,0.0
2024,2,GB,0.0009397934,-0.09798982,0.0009397934,-0.09798982,0.0,0.0,0.0,0.0
2024,2,DEN,-0.11996678,-0.009450878,-0.11996678,-0.009450878,0.0,0.0,0.0,0.0
2024,2,LAC,0.05492127,-0.38327795,0.05492127,-0.38327795,0.0,0.0,0.0,0.0
2024,2,ARI,0.32165226,-0.14423652,0.32165226,-0.14423652,0.0,0.0,0.0,0.0
2024,2,KC,-0.006213202,0.054932106,-0.006213202,0.054932106,0.0,0.0,0.0,0.0
2024,2,PIT,-0.009450878,-0.11996678,-0.009450878,-0.11996678,0.0,0.0,0.0,0.0
2024,2,SEA,0.06128625,0.026519917,0.06128625,0.026519917,0.0,0.0,0.0,0.0
